job_title,company_name,location,summary
Data Quality Analyst,Kinect,Santa Monica. CA,Provide ad hoc analysis to support data team. business units. and key stakeholders for complex data quality questions. SQL. DQ tools. Data Engineering.
Data Science Analyst,REVOLVE,Cerritos. CA 90703,Advanced SQL experience. query optimization. data extract. Conduct complex analysis and build models to uncover key learning form data. leading to appropriate
Clinical Data Analyst II,L.A. Care Health Plan,Los Angeles. CA 90017 (Westlake area),At least 3-5 years of experience in designing. developing. and generating ad hocproduction reports. Analytic skills include the ability to identify data
Data Analytics Associate,Mathematica Policy Research,Oakland. CA 94612 (Downtown area),Perform descriptive and inferential analysis of data. Prepare tables. graphs and other data visualizations to present results.
Data Analyst - MS Access  Excel,Cenergy International,Rosemead. CA,The candidate will oversee and manage all data entry into various tracking tools and provide continuous maintenance and support to ensure data accuracy.
Data Analyst. Analytics - Community,Twitch,San Francisco. CA,"Expert fluency in SQL-based data manipulation. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision-making to make the best"
Sr. Data Analyst,Chairish. Inc.,San Francisco. CA 94104 (Financial District area)•Remote,Familiarity with data engineering. data design and ETL. Partner closely with business stakeholders and other data teams to improve platform capabilities around
Assistant Data Analyst- COVID 19 Response (Contract),Brilliant Corners,Los Angeles. CA 90014 (Downtown area)•Temporarily Remote,Comfort working with data systems and learning new data systems. The Assistant Data Analyst works within the HFH Policy & Procurement data team and supports the
Senior Data Analyst_Marketing,WarnerMedia,Burbank. CA 91505,3-5 years employment with focused concentration on conducting. analyzing and reporting survey market research studies preferred. either at a full-service
Data Analyst. Content & Viewership,Crunchyroll,San Francisco. CA•Temporarily Remote,Partner with the data engineering team to drive the development of our data infrastructure. including data warehousing. reporting. and analytics platforms.
Data Quality Analyst,Kinect,Santa Monica. CA,Provide ad hoc analysis to support data team. business units. and key stakeholders for complex data quality questions. SQL. DQ tools. Data Engineering.
Sales Data Analyst - Digital Distribution,Sony Pictures Entertainment. Inc.,Culver City. CA 90232 (Washington Culver area),Be an expert in digital data; understand data sources and nuances of each account. Experience with analytical data systems used to pull and analyze sales data
Data Analyst. Artist Insights,Universal Music Group,Los Angeles. CA 90028,Good database analytics and data extraction (SQL) skills are essential. ideally gained in a large data warehouse environment.
Data Consultant,Kaiser Permanente,Riverside. CA+5 locations,Under general supervision. this position exists to assist the organization in making strategic data-related decisions by analyzing. manipulating. tracking.
Senior Data Analyst. Point of Sale & Customers,Square,San Francisco. CA,Proficiency with data. analytics. and visualization technologies (we use SQL and Looker). Use data to drive analysis and actionable recommendations to shape
Data Analyst,Sentry,San Francisco. CA,Interface with data consumers to understand organization's data needs. We own the data pipelines that brings data together from different sources and help
Data Analyst,EasyPay Finance,Vista. CA,You will leverage technical and analytical skills to mine data for delivering business insights. Performs regular audits of reported information to verify
SEM Energy Data Analyst,CLEAResult,Oakland. CA,Production data manipulation and formatting. Data analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts.
Data Analyst,Plume,Palo Alto. CA 94306 (Evergreen Park area),Build analytics to collect. process. and analyze huge sets of data. Have the ability to write ETL jobs to extract data for the analytics.
Online Marketing Analyst,Match,West Hollywood. CA,You will research. collect. and analyze data. leverage internal and external resources. and data sources to report on successes and actionable opportunities for
Data Analyst (SF),Thrive Global,San Francisco. CA,Implement best practices in our data analytics and full lifecycle of data. Knowledge of data-gathering tools (i.e. Google Analytics. Parse.ly. Segment) and
Assistant Research Data Analyst,Blizzard Entertainment,Irvine. CA 92618•Temporarily Remote,Collaborate with other teams across Blizzard ensuring the improvement of data tools. and the correct use and interpretation of data.
Senior Data Analyst,DISQO,Glendale. CA,If you are curious about data driven companies. have problem solving skill sets. detail oriented and love analysis we’d love to talk to you.
Healthcare Data Analyst,American Indian Health & Services,Santa Barbara. CA 93110,Experience with analytic reporting. data interpretation. and effective communication of findings to varied audiences. Read on to learn more.
Junior Analyst,Golin,California•Remote,Comfort interpreting a variety of different data sources from qualitative research to primary survey data to secondary data sources and creating one cohesive
Business Intelligence Analyst 4,Adobe,San Jose. CA+1 location,Leverage global reporting. analysis. and business modeling to translate data into insights to proactively drive action.
Data Analyst,Adyen,San Francisco. CA,Data Analysis - Determine the necessary data required to solve a wide variety of business problems; extract required data. and draw conclusions and
Data Analyst. Content & Viewership,Crunchyroll,San Francisco. CA•Temporarily Remote,Partner with the data engineering team to drive the development of our data infrastructure. including data warehousing. reporting. and analytics platforms.
BI Analyst,Golden State Foods,Irvine. CA 92612 (Business District area)•Remote,1-4 years data analyst experience using business intelligence reporting tools. Analyze business unit existing systems and flows of data.
Data Analyst,Info Way Solutions,Santa Clara. CA 95054•Temporarily Remote,(data warehousesSQL. unstructured data: 5 years (Preferred). Strong desire and experience with data in various forms (data warehousesSQL. unstructured data).
Data Analyst. current Public Trust Clearance preferred,DeVine Consulting. Inc.,Monterey. CA 93940,Working experience with data analysis and data reporting. Working experience with data analysis and data reporting. Experience in SQL (ANSI or Oracle).
Data Analyst  Enginner,QuEST Global Engineering,Sunnyvale. CA,Data analyst with Support experience. Monitoring data pipeline and Integrity is complete. Run machine learning algorithms to find data anomalies.
Master Data Analyst,Fox Racing,Irvine. CA 92606 (Business District area),Identify areas for data quality improvements and help to resolve data quality problems and communicate updates to stakeholders at multiple levels.
Analyst. Data Management,Edwards Lifesciences,Irvine. CA,Bachelor's Degree and 3 years of related experience in data management. Develop insights and analytics by applying expertise in data analysis and data mining
Data Analyst - Strategic Analytics,Twitch,San Francisco. CA,"Experience summarizing complex data down to the ""so what"". especially for a non-data savvy audience. Work alongside other data staff in guiding and defining"
Security and Abuse Data Analyst. Safe Browsing,Google,San Francisco. CA,You will demonstrate analytical thinking and make data-driven decisions. Improve tools or systems by influencing key stakeholders with data and analysis.
Data Analyst. current Public Trust Clearance preferred,DeVine Consulting. Inc.,Monterey. CA 93940,Working experience with data analysis and data reporting. Working experience with data analysis and data reporting. Experience in SQL (ANSI or Oracle).
Marketing Data Analyst,GoodRx,Santa Monica. CA 90401 (WilshireMontana area),Aptitude for interpreting data to find insights to drive recommendations. Ability to influence cross-functional partners by leveraging data and insights.
Sr. Data Analyst,Gimbal,Los Angeles. CA,Democratize our data by proposing and developing new data products. data pipelines and tools and provide documentation and training to stakeholders.
Quality Data Analyst,City of Hope,Duarte. CA 91010,Participate in enterprise-level metadata. master data management and data governance initiatives. Preferably experience in data visualization.
Senior Data Analyst,TitanX,Los Angeles. CA•Temporarily Remote,3+ years of experience visualizing and analyzing data as a data analyst data scientist. Experience with data lakes and data warehouse.
Associate Performance Analyst (System),Adventist Health Roseville,Roseville. CA,Performs forecasting and reconciliation of internal data. Compiles and analyzes data to support organization's strategic initiatives.
Data Analyst,211 San Diego,San Diego. CA 92123,The Data Analyst strategically supports the Informatics team as well as internal business units to analyze key data to encourage data-driven decisions.
Sales Data Analyst - Digital Distribution,Sony Pictures Entertainment. Inc.,Culver City. CA 90232 (Washington Culver area),Be an expert in digital data; understand data sources and nuances of each account. Experience with analytical data systems used to pull and analyze sales data
Senior Data Analyst,DISQO,Glendale. CA,Design metrics with the help of the senior data analysts. build reports and dashboards that help the product and marketing teams and all the stakeholders better
Senior Data Analyst. Point of Sale & Customers,Square,San Francisco. CA,Proficiency with data. analytics. and visualization technologies (we use SQL and Looker). Use data to drive analysis and actionable recommendations to shape
Data Visualization Specialist III - MicroStrategy,AmerisourceBergen,Orange. CA,5-10 Years of experience with data visualizationBI tools. such as Qlik or Tableau. SQL and semantic data access mechanisms.
Clinical Data Analyst II,L.A. Care Health Plan,Los Angeles. CA 90017 (Westlake area),At least 3-5 years of experience in designing. developing. and generating ad hocproduction reports. Analytic skills include the ability to identify data
Data Analyst,VIZ Media,San Francisco. CA 94103 (South Of Market area),2-4 years of experience in a data analysis role. Experience with data warehousing (e.g. AWS Redshift or similar). 8 Weeks of Parental Leave.
Data Analyst - Remote,New Relic,San Francisco. CA 94105 (South Beach area)•Remote,Work closely with data engineersscientists to automate the collectionanalysis of raw data for models; Assist in extracting and analyzing data from large data
IA5 - Data & Impact Analyst,Episcopal Community Services,San Francisco. CA 94103 (South of Market area),Monitor the quality and timeliness of program data across data systems. Perform data entry. cleaning. and validation in both ECS-run and external data systems.
Senior BI Data Analyst - REMOTE,Medable,Palo Alto. CA•Remote,BI governance including data dictionary. report integrity. data quality and data audits. Experience with querying and exploring data stored in data warehouses.
Data Analyst,VIZ Media,San Francisco. CA 94103 (South Of Market area),2-4 years of experience in a data analysis role. Experience with data warehousing (e.g. AWS Redshift or similar). 8 Weeks of Parental Leave.
MRM Data Science & Reporting Analyst,AIG,Woodland Hills. CA,The MRM Data Science & Reporting Team produces financial management reports . quantifies assetliability PL changes and communicates results to senior
IT Jr. Business Analyst,Hollywood Park,Inglewood. CA,Experience in analyzing data to draw business-relevant conclusions. SoFi Stadium and Hollywood Park is seeking a business analyst who can assist with analyzing
Data Quality Analyst,Kinect,Santa Monica. CA,Provide ad hoc analysis to support data team. business units. and key stakeholders for complex data quality questions. SQL. DQ tools. Data Engineering.
Sr. Data Analyst,Chairish. Inc.,San Francisco. CA 94104 (Financial District area)•Remote,Familiarity with data engineering. data design and ETL. Partner closely with business stakeholders and other data teams to improve platform capabilities around
Business Analyst,Happiest Baby. Inc.,Los Angeles. CA 90016,Strong ability to model data to meet reporting requirements. Perform complex analysis of datasets and conduct regular data validation and governance.
Data Analyst - Creator,Twitch,San Francisco. CA,Experience building aggregates and optimizing data workstreams. Expert fluency in SQL-based data manipulation. You will report to the Head of Creator Products.
Data Analyst - US,MOLOCO,Redwood City. CA,2+ years of experience in data analytics. Excellence in logical thinking. problem solving and proven familiarity with big data. Bachelor's degree is required.
Data Analysts,Zoxima,Fremont. CA,Use statistical methods to analyse data and generate useful business reports. Very good programming skills. preferably in ‘R’ language.
Promo & Content Data Analyst. Peacock On-Product Promotion,NBCUniversal,Los Angeles. CA,Analyze promo delivery data and provide relevant and actionable insights to optimize campaign performance. The successful candidate has a passion for leveraging
Data Analyst,Stachs LLC,Baldwin Park. CA 91706,2+ years data analyst experience. Identify needs. delegate internally. and take initiative as needed to maintain data compliance.
Data Analyst,Whalerock Industries,West Hollywood. CA 90069,Experience with user behavior data. Strong Excel skills and the ability to manage and analyze large sets of data. Comfortable with advanced SQL queries.
Gift Processing and Data Analytics Specialist. University Ad...,California State University San Marcos Corporation,San Marcos. CA 92096,The Specialist is also responsible for assisting the Database Administrator with data requests and reporting. Reporting to the Director of Advancement Services.
Data Analyst Norwegian A799,Anzu Global,Cupertino. CA,Acquire data from primary or secondary data sources and maintain databasesdata systems. Strong data and analytic skills. knowledge of excel. numbers and data
Data Analyst,Enterprise Resource Partners,El Dorado Hills. CA,Perform routine and ad hoc data maintenance. Work experience in data extraction from multiple databases. Evaluate and confirm incomingoutgoing data sets meet
Player Support Analyst,Activision,El Segundo. CA,You have a passion for numbers. data visualization and turning massive amounts of data into digestible and actionable content.
Data Entry Analyst,Calbee North America,Madera. CA•Remote,Analyze data and produce report as required. The primary responsibility of this position is to enter data and provide oversight to the inventory System.
Data Analyst,Branded Resaerch Inc (BRINC),San Diego. CA,Comfortable in a complex data environment and understanding of data structures. Knowledge of data visualization software like Tableau.
Data Management Analyst,KBR,China Lake. CA,The Data Management Analyst responsibilities include the collection and preparation of test data from test facilities for data analysis; provide technical
Business Analyst,PG&E Corporation,Antioch. CA 94509,Determines data needs. collects and validates data. selects from different analytical techniques to achieve desired data outcomes.
Product Data Analyst,Cricket Health,San Francisco. CA•Remote,Prior Amplitude experience and at least 25 years experience working with product analytics data. Being an excellent analyst: Uncover business questions.
Senior Data Analyst,Enquero Inc,Milpitas. CA 95035•Remote,Should have hands on experience in any ETL. data modelling concepts and implementation. Follow standard practices and procedures in analyzing situations or data
Master Data Analyst II,Surgalign Spine Technologies Inc,San Diego. CA 92131•Remote,5-7 years minimum work experience in master data in SAP. Troubleshoot issues related to master data and identify opportunities for improving data management
Business Analyst,DEMOSPHERE,Universal City. CA,Search the blog Recent Posts Introducing the Demosphere Universal Experience and Team Pages Getting to Know The Coaches’ Voice Thinking About Adding an
Sr. Data Science Analyst,Auto Club of Southern California,Costa Mesa. CA 92626,Ensure data integrity and appropriate use of research. Knowledge and use of statistics. statistical modeling. database management. data interpretation. andor
Contact Master Data Analyst,Abbvie,Irvine. CA,Hands on experience managing data quality and master data. This role will require existing knowledge of master data management tools and processes and the
Data Analyst,Avail Medsystems,California•Remote,Demonstrated knowledge of data modeling and SQL. On-going monitoring of critical data sources for accuracy and availability.
MRM Data Science & Reporting Analyst,AIG,Woodland Hills. CA,The MRM Data Science & Reporting Team produces financial management reports . quantifies assetliability PL changes and communicates results to senior
Data Analyst. Manufacturing Quality,Tesla,Fremont. CA,Write SQL to aggregate and process data across multiple data source. The manufacturing quality data engineering team is responsible for performing advanced
Logistics Data Analyst,Lucid Motors,Newark. CA 94560,Update PFEP data on regular cadence. Provide data and support lineside & replenishment market calculations. We are currently seeking a Logistics Data Analyst.
DATA ANALYST,Gaine Technology LLC,San Luis Obispo. CA 93401,Filter and “clean” data by reviewing customer data sets. Acquire data from primary or secondary data sources. utilizing internal ETL tools.
Intermediate Corporate Data Analyst,Health Plan of San Joaquin,French Camp. CA,Demonstrates competency in quantitative analysis. data mining. and the presentation of data with a focus on actionable analytics.
Sr. Data Analyst-Product,Weee! Inc,Fremont. CA,3-5 years of relevant experience working with Product teams. Partner with Data Engineering to craft our data infrastructure investments in support of BI needs
Programmer Analyst III,Merced County. CA,Merced. CA 95340,Frequent use of data entry device including repetitive hand and arm motion. Analyze data. interpret directions. procedures and regulations. and develop
Business Intelligence Analyst 4,Adobe,San Jose. CA+1 location,Leverage global reporting. analysis. and business modeling to translate data into insights to proactively drive action.
SQL DeveloperData Analyst,Argen Corporation,San Diego. CA 92126,Imports data into the data warehouse. Validates all data sets and views of data. Prepares data for visualization. builds visualizations and performs data
Senior Data Analyst,Wild Earth,Berkeley. CA•Remote,Maintain the analytics layer in our data warehouse to provide clean and actionable data to teams across the organization. Knowledge of SQL performance tuning.
Operations Data Analyst,ConsejoSano,Los Angeles. CA,Familiarity with platforms such as Tableau and other data analytic technologies. Closely coordinate campaign data uploads with the engagement team (patient
Business Analyst. Hive Models,Hive,San Francisco. CA,You have 1-3 years of work experience in a Product Management or Engineering role at a technology or technology consulting company.
MRM Data Science & Reporting Analyst,AIG,Woodland Hills. CA,The MRM Data Science & Reporting Team produces financial management reports . quantifies assetliability PL changes and communicates results to senior
DHM Data Analyst,University of California San Francisco,San Francisco. CA 94143 (Haight-Ashbury area),We offer analysts both a small amount of protected time to learn new data science skills and tools as well as a small discretionary budget which can cover the
Content & Data Analyst,Capital Group,Los Angeles. CA 90071•Temporarily Remote,Often that includes charts and other forms of data visualization. You are drawn to the raw data associated with investments. financial markets and economics.
Data Analyst,Vervent Inc,San Diego. CA 92121,Attention to detail and with strong data analysis and problem-solving skills. Working knowledge of SQL. ETL. data cleansing. and various data visualization
SR Data Analyst,Surya Systems,San Francisco. CA•Temporarily Remote,Own the end to end data science process. from initiation to deployment. and through ongoing communication and collaboration. sharing of results to partners and
Creator Operations - Marketplace Operation Business Analyst,TikTok,Los Angeles. CA,Program manage and prepare materials for business insights sharing sessions at bi-weekly  monthly cadence. coordinate with data engineer and product team to
Senior Data Analyst,Metromile,San Francisco. CA 94107 (Yerba Buena area),Build and share self-service data access tools and processes that encourage semi-technical members to explore. slice. and dice data.
Data Operations Analyst — Remote,Tinuiti - 2,California•Remote,Ensure data requests are formally captured via standard data deliverables (source-to-target. control files. validation models) for ongoing data operations and
Data Analyst,Branded Resaerch Inc (BRINC),San Diego. CA,Comfortable in a complex data environment and understanding of data structures. Knowledge of data visualization software like Tableau.
Senior Data Analyst,Kajabi,California•Remote,Help build out our reporting model as well as suggesting new areas for data retrieval (e.g. clickstream events. survey data) to help answer questions that we
Payment Ops & Risk Data Analyst,Fast AF,San Francisco. CA•Remote,Build and maintain LookML data layers to define and structure payments data. 3 years of experience with data analysis. working with databases. and querying (e.g
Quality Data Analyst,ViaSat,Carlsbad. CA,Experience with Tableau or equivalent data visualization tools. 2-5 years of working experience in a related in a Data Analyst Role.
Data Visualization Specialist III - MicroStrategy,AmerisourceBergen,Orange. CA,5-10 Years of experience with data visualizationBI tools. such as Qlik or Tableau. SQL and semantic data access mechanisms.
Sr. Data Analyst,MATRIX Resources,San Francisco. CA 94111 (Financial District area),Document the reference data and meta data for each release of the Transactions data store. Develop detailed data mapping (source to target) document
Data Analyst - 0.8 - Days - Concern: EAP,El Camino Health,Mountain View. CA 94040 (Old Mountain View area),Five (5) years' experience in data systems. Experience working with databases. large data sets. multiple data sources and interpreting complex data to create
Data Analyst- Field Reliability,Tesla,Palo Alto. CA,Able to visualize data effectively. Strong SQL. comfortable writing queries. data processing scripts. and understanding RDBMS data structures.
Data Analyst,Happiest Baby. Inc.,Los Angeles. CA 90016,Happiest Baby is looking for a highly motivated and detail-oriented data analyst with strong critical thinking skills. 2+ years of relevant industry experience.
Data Analyst. current Public Trust Clearance preferred,DeVine Consulting. Inc.,Monterey. CA 93940,Working experience with data analysis and data reporting. Working experience with data analysis and data reporting. Experience in SQL (ANSI or Oracle).
Data Analyst,The Voleon Group,Berkeley. CA 94704•Temporarily Remote,An interest in programming and data analysis  data science. Help drive continuous improvements to data quality procedures and a consistent approach to how data
Senior Data Analyst,Expertise LLC,Los Angeles. CA 90043,Maintain existing data products. including Stitch (data replication). Skyvia (data syncing). Twilio (call data). SEMRush & aHrefs (SEO tools).
Gift Processing and Data Analytics Specialist. University Ad...,California State University,San Marcos. CA 92096,The Specialist is also responsible for assisting the Database Administrator with data requests and reporting. Reporting to the Director of Advancement Services.
Data Analyst - 0.8 - Days - Concern: EAP,El Camino Health,Mountain View. CA 94040 (Old Mountain View area),Five (5) years' experience in data systems. Experience working with databases. large data sets. multiple data sources and interpreting complex data to create
Data Analyst,Triune Infomatics Inc,Oakland. CA,Scrubbing the data for conversion to dashboards. Assistance with downloading and managing data from California monitoring systems such as CAIR2 and CalREDIE.
Mobile Growth AnalystData scientist : 21-04149,Akraya Inc.,San Jose. CA 95110 (Downtown area),Advanced skill in SQL- experience joining data sets to drive analytics. Experience in defining a business problem. collecting required data. analyzing the
Player Support Analyst,Activision,El Segundo. CA,You have a passion for numbers. data visualization and turning massive amounts of data into digestible and actionable content.
Lead Data Analyst,UCLA Health,Los Angeles. CA 90095•Temporarily Remote,Experience with data visualization tools (e.g. Tableau) (Preferred). Consult with PMHP staff to interpret and disseminate evaluation results. develop reports.
Data Analyst II,JT4,Edwards. CA 93523,Duties will include maintaining control of various levels of classified material. attention to detail. experience in Microsoft Office Programs (Microsoft Word.
Associate Data Analyst,The Surplus Line Association of CA,San Ramon. CA 94583,Compare source document data with database reports to detect errors and ensure completeness and conformity with established policies and procedures.
Management Analyst,City of Cupertino. CA,Cupertino. CA (South Blaney area),Analyze. interpret. summarize. and present administrative and technical information and data in an effective manner. Record keeping principles and procedures.
Data Analyst - Tiktok Ads,TikTok,Mountain View. CA,Expert experience pulling large and complex data using SQL and writing data pipelines. Experience with a data visualization tool (e.g. Tableau);
Quality Master Data Analyst,LaborView,Carlsbad. CA,Support planned and ad-hoc data analysis efforts and issue resolution for master data topics. 2+ years in a highly accurate and data-driven environment where
Data Analyst. Product,Jam City,San Francisco. CA+1 location,Using multiple data sources. create reporting and performance monitoring tools and dashboards for end users. Experience analyzing very large. multi-dimensional
Senior Data Analyst : 21-04928,Akraya Inc.,Foster City. CA 94404,7+ years data analyst or related experience. including proficiency with analytical software or equivalent related education.
Data Analyst,ONG HUMAN CAPITAL,San Gabriel Valley. CA,Participates in the ongoing development of data quality control systems to enhance data based decision making and quality control methodologies to improve
Data Analyst,First Republic Bank,San Francisco. CA 94111 (Financial District area),5+ years of experience working with data. A strong understanding of how data is stored. queried and transformed. Knowledge of business lending a plus.
Data Analyst,Community Action Partnership of San Luis Obispo,San Luis Obispo. CA 93401,Reviews data for completeness and accuracy. Works with program staff and management to determine ways to make data collection and entry more efficient.
Data Analyst,Sounding Board Inc,Los Angeles. CA 90001•Remote,3-5 years of work experience as a data analyst or in a related field. To do well in this role you need a very fine eye for detail. experience as a data analyst.
Data Analyst. Product,Jam City,San Francisco. CA+1 location,Using multiple data sources. create reporting and performance monitoring tools and dashboards for end users. Experience analyzing very large. multi-dimensional
Quality Master Data Analyst,LaborView,Carlsbad. CA,Support planned and ad-hoc data analysis efforts and issue resolution for master data topics. 2+ years in a highly accurate and data-driven environment where
Data Analyst I,Heritage Provider Network,Lancaster. CA 93534,Seeking a candidate who will be responsible for submitting encounter data to health plans. correct submission errors. and creatingmodifyingupdating crystal
Data Analyst,ONG HUMAN CAPITAL,San Gabriel Valley. CA,Participates in the ongoing development of data quality control systems to enhance data based decision making and quality control methodologies to improve
Water Quality Analyst I,Golden State Water Company,Gardena. CA,Able to conduct data analysis. summarize data with tables and graphs. and prepare reports andor presentations. Maintains Cross-Connection Control Program.
Analyst I,Nan McKay & Associates,San Francisco. CA 94124 (Bayview area),Background in data relationships. data mining and quantitative vs. qualitative analysis. Analyze data to identify significant differences. relationships and
Data Analyst - Tiktok Ads,TikTok,Mountain View. CA,Expert experience pulling large and complex data using SQL and writing data pipelines. Experience with a data visualization tool (e.g. Tableau);
BI Data Analyst,Credible,San Francisco. CA 94102 (Van Ness - Civic Center area),2+ years of work experience as a data analyst. data engineer. or in a highly analytical role. Develop data models in our data warehouse that enable performant.
Financial Data Analyst,PennyMac,Westlake Village. CA 91362,Querying for ad-hoc data requests. Organize. prepare. and present data to management. Deliver data and other support information requests as needed for audits
Data Analyst,Triune Infomatics Inc,Oakland. CA,Scrubbing the data for conversion to dashboards. Assistance with downloading and managing data from California monitoring systems such as CAIR2 and CalREDIE.
Business Insights Analyst,Adobe,San Jose. CA,Connect the dots across various data sources to tell a story through data visualization and insights. Use data for process improvement. highlight portfolio
PROGRAM ANALYST,US Naval Medical Command,Naval Medical Center San Diego. CA•Remote,Within the Department of Defense (DoD). the appointment of retired military members within 180 days immediately following retirement date to a civilian position
Data Analyst - 0.8 - Days - Concern: EAP,El Camino Health,Mountain View. CA 94040 (Old Mountain View area),Five (5) years' experience in data systems. Experience working with databases. large data sets. multiple data sources and interpreting complex data to create
Trauma Data Associate,California Hospital Medical Center,Los Angeles. CA 90015 (Downtown area),Mentors and advises data analysts in understanding source and meaning of data to create effective analyses. Creates clean data extracts for data analysts within
Customer Experience Operations Data Analyst,Kajabi,California•Remote,Support ad-hoc data requests in support of Customer Experience initiatives. Analyzing data and presenting findings to technical and non-technical audiences.
Data Labeling Analyst - PortugueseSpanish,Ursus,Mountain View. CA 94041,The typical data labeling analyst will have experience in data quality assurance. The main function of a data labeling analyst is to create and manage labeling
Business Analyst,Agama Solutions,Sacramento. CA+3 locations•Remote,Must have familiarity with Public pension systems.
Associate Logistics Data Analyst,Flock Freight,San Diego. CA,Our team is made up of a group of engineers and analysts who are passionate about turning data into actionable insights. developing innovative solutions to key
Decision Support Analyst. Full Time. Day Shift. Accountable...,Adventist Health Glendale,Glendale. CA,Summarizes key points of data analysis on assigned reports to optimize efficient data use. Retrieves and analyzes data. assumes responsibility for data base
Data Analyst,GOAT,Los Angeles. CA,Use data to drive business decisions across multiple teams within the company. 2+ years experience in data analytics. ideally in e-commerce or at a startup.
Programmer Analyst (5 month limited appointment),UCLA Health,Los Angeles. CA 90095,PREFERRED experience with healthcare data andor electronic health record data including security and privacy concerns.
Data Analyst,Fiserv,Sunnyvale. CA 94087,Lead efforts to improve data literacy and fluency within the company by contributing to data warehouse development. technical documentation. and training teams
Senior Data Analyst,FocusKPI Inc.,San Francisco Bay Area. CA,The ideal candidate is an intelligent. sharp. detail-oriented. and highly quantitative individual who loves working with and analyzing data.
Data Analyst. US & Canada Analytics & Insights - CommOps,Uber,San Francisco. CA 94103 (South of Market area),Minimum 3 years of experience in analytics. business intelligence. data engineering. or a similar role. We have three broad purposes - (1) Own CommOps' data
Senior Data Analyst - Santa Ana. CA or Minnetonka. MN,UnitedHealth Group,Santa Ana. CA 92702,Perform ad hoc data research using SQL tools and fulfill various data requests. 2+ years of experience writing data-driven reports. working with data to create
Data Analyst,Stachs LLC,Baldwin Park. CA 91706,2+ years data analyst experience. Identify needs. delegate internally. and take initiative as needed to maintain data compliance.
Management and Program Analyst,US Assistant Secretary for Housing-Federal Housing...,Santa Ana. CA,Occasional travel - 1 - 5 days per month. Collects data from a variety of internal and external sources and develops reporting information to ensure compliance
Data and Policy Analyst - WriterCoordinator,Acumen LLC,Los Angeles. CA 90064 (Sawtelle area)+1 location,Good organizational skills and strong attention to detail. This position is responsible for managing and analyzing data. researching and interpreting policy.
Data Analyst. US & Canada Analytics & Insights - CommOps,Uber,San Francisco. CA 94103 (South of Market area),Minimum 3 years of experience in analytics. business intelligence. data engineering. or a similar role. We have three broad purposes - (1) Own CommOps' data
Associate Data Science Analyst,LendingClub,San Francisco. CA,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Marketing Data Analyst,Mediasmith. Inc.,Oakland. CA,Ability to efficientlyanalyze and provide insight into complex data sets. Expert Excel skills:manipulating. parsing. and blending data is essential.
Data Analyst. Applied Agronomics,Sound Agriculture,California•Remote,Work with Sound data scientists and agronomists to understand. coordinate. and maintain data according to experimental designs.
Business Analyst III,City of Escondido,Escondido. CA 92025,With technical analyst support. develop and deploy complex queries and reports. Detect. isolate and resolve application software problems with vendor and
Data Analyst 2,Natera,San Carlos. CA 94070,Technical expertise regarding data models. database query. data segmentation techniques; 3+ years of overall data centric experience preferred; preferably in
Senior Data Analyst. Product Insights,Pantheon,California•Remote,Collaborate with cross-functional partners to tackle challenges where product data and broader business data intersect. Unlimited time off and sick days.
Data Analyst (SQL)• Global Logistics,Recruiting Resources. Inc.,Los Angeles. CA 90064•Temporarily Remote,Write scripts to analyze data and perform specific data queries. Integrate data from multiple data sets into one database system to streamline information.
Gift Processing and Data Analytics Specialist. University Ad...,California State University,San Marcos. CA 92096,The Specialist is also responsible for assisting the Database Administrator with data requests and reporting. Reporting to the Director of Advancement Services.
Senior Business Analyst,Brightview,Calabasas. CA 91302,Facilitating M&A Activities including data importsexports. data mapping. process mapping. and new user training. Up to 5% travel required.
Data Conversion Analyst - 32419894,Capio Group,Sacramento. CA 95814 (Mansion Flats area),At least five (5) years of experience designing. developing. debugging and supporting complex data conversion processes using SQL Server.
Data Analyst,Whalerock Industries,West Hollywood. CA 90069,Experience with user behavior data. Strong Excel skills and the ability to manage and analyze large sets of data. Comfortable with advanced SQL queries.
Water Quality Analyst I,Golden State Water Company,Gardena. CA,Able to conduct data analysis. summarize data with tables and graphs. and prepare reports andor presentations. Maintains Cross-Connection Control Program.
Metrics and Data Analyst,IAP Worldwide Services. Inc,San Diego. CA,Demonstrated five (5) years experience in data analysis support for complex projects and database design. IAP is seeking a Metrics and Data Analyst based out of
Master Data Analyst,Fox Racing,Irvine. CA 92606 (Business District area),Identify areas for data quality improvements and help to resolve data quality problems and communicate updates to stakeholders at multiple levels.
Data Analyst. Product,Jam City,San Francisco. CA+1 location,Using multiple data sources. create reporting and performance monitoring tools and dashboards for end users. Experience analyzing very large. multi-dimensional
Trauma Data Associate,California Hospital Medical Center,Los Angeles. CA 90015 (Downtown area),Mentors and advises data analysts in understanding source and meaning of data to create effective analyses. Creates clean data extracts for data analysts within
Senior Data Analyst - Santa Ana. CA or Minnetonka. MN,UnitedHealth Group,Santa Ana. CA 92702,Perform ad hoc data research using SQL tools and fulfill various data requests. 2+ years of experience writing data-driven reports. working with data to create
Business Analyst (DOM),Universal Music Group,Santa Monica. CA 90404 (Mid-City area),Minimum of 5 years in business  process analyst role. In-depth knowledge of data gathering and modelling techniques. Develop solution test cases and scenarios.
